"","QTL_ID","Symbol","Chromosome","Center_cM","Range_cM","Cood_A_bp","Coord_B_bp","Trait_Name","Significance","FlankMrkA2","FlankMrkA1","FlankMrkB1","FlankMrkB2"
"1579",172354,"GAITED","1",96.47,"96.47-96.47",18091557,18091597,"Alternate gaits","Significant",NA,"","",NA
"1587",172362,"GAITED","1",NA,"",155226134,155226174,"Alternate gaits","Significant",NA,"","",NA
"1595",172370,"GAITED","1",294.66,"294.66-294.66",55259268,55259308,"Alternate gaits","Significant",NA,"","",NA
"1600",172375,"GAITED","1",373.85,"373.85-373.85",70111111,70111151,"Alternate gaits","Significant",NA,"","",NA
"1607",172382,"GAITED","1",233.83,"233.83-233.83",43852352,43852392,"Alternate gaits","Significant",NA,"","",NA
"1612",172387,"GAITED","1",NA,"",155323227,155323267,"Alternate gaits","Significant",NA,"","",NA
"1614",172389,"GAITED","1",203.96,"203.96-203.96",38250727,38250767,"Alternate gaits","Significant",NA,"","",NA
"1618",172393,"GAITED","1",209.73,"209.73-209.73",39331317,39331357,"Alternate gaits","Significant",NA,"","",NA
"1630",172405,"GAITED","1",96.47,"96.47-96.47",18091689,18091729,"Alternate gaits","Significant",NA,"","",NA
"1632",172407,"GAITED","1",30.12,"30.12-30.12",5649280,5649320,"Alternate gaits","Significant",NA,"","",NA
"1638",172418,"GAITED","1",190.53,"190.53-190.53",35731829,35731869,"Alternate gaits","Significant",NA,"","",NA
"1639",172419,"GAITED","1",190.53,"190.53-190.53",35731263,35731303,"Alternate gaits","Significant",NA,"","",NA
"1640",172420,"GAITED","1",190.5,"190.50-190.50",35726325,35726365,"Alternate gaits","Significant",NA,"","",NA
"1641",172421,"GAITED","1",190.47,"190.47-190.47",35720230,35720270,"Alternate gaits","Significant",NA,"","",NA
"1645",172426,"GAITED","1",95.69,"95.69-95.69",17945245,17945285,"Alternate gaits","Significant",NA,"","",NA
"1646",172427,"GAITED","1",190.48,"190.48-190.48",35721306,35721346,"Alternate gaits","Significant",NA,"","",NA
"1653",172445,"GAITED","1",205.79,"205.79-205.79",38592522,38592562,"Alternate gaits","Significant",NA,"","",NA
"1655",172448,"GAITED","1",204.26,"204.26-204.26",38306796,38306836,"Alternate gaits","Significant",NA,"","",NA
"1667",172475,"GAITED","1",96.33,"96.33-96.33",18065578,18065618,"Alternate gaits","Significant",NA,"","",NA
"1668",172477,"GAITED","1",206.07,"206.07-206.07",38646271,38646311,"Alternate gaits","Significant",NA,"","",NA
"1691",172527,"GAITED","1",211.1,"211.10-211.10",39589042,39589082,"Alternate gaits","Significant",NA,"","",NA
"1714",172571,"GAITED","1",28.38,"28.38-28.38",5322222,5322262,"Alternate gaits","Significant",NA,"","",NA
"1720",178607,"SUSBITE","1",NA,"",153033730,153971271,"Insect bite hypersensitivity","Significant","","rs68495816","rs68503304",""
"1725",178635,"SUSBITE","1",40.05,"37.57-42.54",7044939,7977385,"Insect bite hypersensitivity","Significant","","","",""
"1726",178636,"SUSBITE","1",40.05,"37.57-42.54",7044939,7977385,"Insect bite hypersensitivity","Significant","","","",""
"1733",179365,"SUSBITE","1",NA,"",152048245,152995346,"Insect bite hypersensitivity","Significant","","","",""
"1738",179370,"SUSBITE","1",NA,"",152048245,152995346,"Insect bite hypersensitivity","Significant","","","",""
"1739",179371,"SUSBITE","1",NA,"",152048245,152995346,"Insect bite hypersensitivity","Significant","","","",""
"1742",179374,"SUSBITE","1",NA,"",152048245,152995346,"Insect bite hypersensitivity","Significant","","","",""
"1743",179375,"SUSBITE","1",NA,"",152048245,152995346,"Insect bite hypersensitivity","Significant","","","",""
"1750",179382,"SUSBITE","1",NA,"",152048245,152995346,"Insect bite hypersensitivity","Significant","","","",""
"1751",179383,"SUSBITE","1",NA,"",152048245,152995346,"Insect bite hypersensitivity","Significant","","","",""
"1757",179389,"SUSBITE","1",NA,"",152048245,152995346,"Insect bite hypersensitivity","Significant","","","",""
"1758",179390,"SUSBITE","1",NA,"",152048245,152995346,"Insect bite hypersensitivity","Significant","","","",""
"1843",181830,"ERU","1",NA,"",158120037,158120077,"Recurrent uveitis","Significant","","","",""
"1844",181831,"ERU","1",NA,"",158120530,158120570,"Recurrent uveitis","Significant","","","",""
"1845",181832,"ERU","1",NA,"",152048245,152995346,"Recurrent uveitis","Significant","","","",""
"1850",181837,"ERU","1",NA,"",152048245,152995346,"Recurrent uveitis","Significant","","","",""
"1851",181838,"ERU","1",NA,"",152048245,152995346,"Recurrent uveitis","Significant","","","",""
"1852",181839,"ERU","1",NA,"",152048245,152995346,"Recurrent uveitis","Significant","","","",""
"1853",181840,"ERU","1",NA,"",152048245,152995346,"Recurrent uveitis","Significant","","","",""
"1856",181843,"ERU","1",NA,"",152048245,152995346,"Recurrent uveitis","Significant","","","",""
"183",28332,"CHRLYMP","10",49,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"184",28333,"CHRLYMP","10",32.1,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"185",28334,"CHRLYMP","10",51.3,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"186",28335,"CHRLYMP","10",52.3,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"187",28336,"CHRLYMP","10",69.8,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"188",28337,"CHRLYMP","10",38.7,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"189",28338,"CHRLYMP","10",46.9,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"191",28340,"CHRLYMP","10",49,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"192",28341,"CHRLYMP","10",49.8,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"193",28342,"CHRLYMP","10",32.1,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"194",28343,"CHRLYMP","10",51.3,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"195",28344,"CHRLYMP","10",52.3,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"196",28345,"CHRLYMP","10",69.8,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"197",28346,"CHRLYMP","10",38.7,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"198",28347,"CHRLYMP","10",46.9,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"199",28348,"CHRLYMP","10",55.9,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"594",29328,"OSTEO","10",279.41,"279.41-279.41",48252478,48252518,"Osteochondrosis","Significant","","","",""
"595",29329,"OSTEO","10",279.45,"279.45-279.45",48258404,48258444,"Osteochondrosis","Significant","","","",""
"596",29330,"OSTEO","10",279.6,"279.60-279.60",48285478,48285518,"Osteochondrosis","Significant","","","",""
"597",29331,"OSTEO","10",279.85,"279.85-279.85",48328665,48328705,"Osteochondrosis","Significant","","","",""
"801",37903,"OSTD","10",465.41,"465.41-465.41",80373113,80373153,"Osteochondrosis dissecans","Significant","","","",""
"802",37904,"OSTD","10",465.5,"465.50-465.50",80389078,80389118,"Osteochondrosis dissecans","Significant","","","",""
"825",70911,"OSTEO","10",327.51,"327.51-327.51",56558890,56558930,"Osteochondrosis","Significant","","","",""
"844",106359,"GAITED","10",216.89,"216.89-216.89",53570874,53570914,"Alternate gaits","Significant",NA,"","",NA
"884",124196,"CANT","10",465.5,"465.50-465.50",80389078,80389118,"Cantering ability","Significant",NA,"","",NA
"947",160693,"SUSBITE","10",75.35,"74.98-75.72",12948489,13075518,"Insect bite hypersensitivity","Significant","","","",""
"1133",165850,"WITHIH","10",241.47,"241.47-241.47",41699739,41699779,"Withers height","Significant",NA,"","",NA
"1136",165853,"WITHIH","10",315.83,"315.83-315.83",54542355,54542395,"Withers height","Significant",NA,"","",NA
"1166",165883,"WITHIH","10",243.98,"243.98-243.98",42134077,42134117,"Withers height","Significant",NA,"","",NA
"1173",165890,"WITHIH","10",174.34,"174.34-174.34",30107473,30107513,"Withers height","Significant",NA,"","",NA
"1201",165918,"WITHIH","10",NA,"",77369879,77369919,"Withers height","Significant",NA,"","",NA
"1228",165945,"WITHIH","10",156.27,"156.27-156.27",26986348,26986388,"Withers height","Significant",NA,"","",NA
"1245",165963,"WITHIH","10",250.95,"250.95-250.95",43336566,43336606,"Withers height","Significant",NA,"","",NA
"1246",165964,"WITHIH","10",127.79,"127.79-127.79",22067876,22067916,"Withers height","Significant",NA,"","",NA
"1275",165993,"WITHIH","10",107.91,"107.91-107.91",18636036,18636076,"Withers height","Significant",NA,"","",NA
"1280",165998,"WITHIH","10",362.7,"362.69-362.70",62634879,62634919,"Withers height","Significant",NA,"","",NA
"1282",166000,"WITHIH","10",33.32,"33.32-33.32",5754572,5754612,"Withers height","Significant",NA,"","",NA
"1306",166024,"WITHIH","10",NA,"",71853126,71853166,"Withers height","Significant",NA,"","",NA
"1349",166068,"WITHIH","10",335.58,"335.58-335.58",57951750,57951790,"Withers height","Significant",NA,"","",NA
"1388",166107,"WITHIH","10",52.37,"52.37-52.37",9044329,9044369,"Withers height","Significant",NA,"","",NA
"1394",166113,"WITHIH","10",223.98,"223.98-223.98",38680271,38680311,"Withers height","Significant",NA,"","",NA
"1409",166128,"WITHIH","10",NA,"",69826424,69826464,"Withers height","Significant",NA,"","",NA
"1418",166137,"WITHIH","10",115.66,"115.66-115.66",19973038,19973078,"Withers height","Significant",NA,"","",NA
"1433",166152,"WITHIH","10",241.47,"241.47-241.47",41699739,41699779,"Withers height","Significant",NA,"","",NA
"1450",166169,"WITHIH","10",114.03,"114.03-114.03",19691545,19691585,"Withers height","Significant",NA,"","",NA
"1534",166253,"WITHIH","10",357.09,"357.09-357.09",61666115,61666155,"Withers height","Significant",NA,"","",NA
"1604",172379,"GAITED","10",349.5,"349.50-349.50",60356590,60356630,"Alternate gaits","Significant",NA,"","",NA
"1620",172395,"GAITED","10",32.89,"32.89-32.89",5679737,5679777,"Alternate gaits","Significant",NA,"","",NA
"1783",179415,"SUSBITE","10",295.9,"295.90-295.90",51100157,51100197,"Insect bite hypersensitivity","Significant","","","",""
"1785",179417,"SUSBITE","10",123.35,"123.35-123.35",21301418,21301458,"Insect bite hypersensitivity","Significant","","","",""
"1788",179420,"SUSBITE","10",371.78,"371.78-371.78",64203866,64203906,"Insect bite hypersensitivity","Significant","","","",""
"1789",179421,"SUSBITE","10",373.68,"373.68-373.68",64532306,64532346,"Insect bite hypersensitivity","Significant","","","",""
"1790",179422,"SUSBITE","10",NA,"",76735187,76735227,"Insect bite hypersensitivity","Significant","","","",""
"1854",181841,"ERU","10",260.23,"260.23-260.23",44940500,44940540,"Recurrent uveitis","Significant","","","",""
"645",29381,"OSTEO","11",619.86,"619.86-619.86",10892765,10892805,"Osteochondrosis","Significant","","","",""
"690",29504,"BSIZE","11",NA,"1323.61-1323.61",23259712,23259752,"Overall body size","Significant",NA,"","",NA
"739",32155,"EAVRESI","11",NA,"2812.54-2812.55",49424819,49424859,"Equine arteritis virus","Significant","","","",""
"740",32156,"EAVRESI","11",NA,"2828.63-2828.64",49707587,49707627,"Equine arteritis virus","Significant","","","",""
"741",32157,"EAVRESI","11",NA,"2825.01-2825.01",49643912,49643952,"Equine arteritis virus","Significant","","","",""
"742",32158,"EAVRESI","11",NA,"2821.94-2821.94",49589932,49589972,"Equine arteritis virus","Significant","","","",""
"743",32159,"EAVRESI","11",NA,"2818.70-2818.71",49533065,49533105,"Equine arteritis virus","Significant","","","",""
"744",32160,"EAVRESI","11",NA,"2829.91-2829.91",49729938,49729978,"Equine arteritis virus","Significant","","","",""
"745",32161,"EAVRESI","11",NA,"2823.30-2823.31",49613934,49613974,"Equine arteritis virus","Significant","","","",""
"746",32162,"EAVRESI","11",NA,"2824.66-2824.66",49637752,49637792,"Equine arteritis virus","Significant","","","",""
"747",32163,"EAVRESI","11",NA,"2821.63-2821.63",49584493,49584533,"Equine arteritis virus","Significant","","","",""
"748",32164,"EAVRESI","11",NA,"2828.01-2828.01",49696659,49696699,"Equine arteritis virus","Significant","","","",""
"749",32165,"EAVRESI","11",NA,"2824.07-2824.08",49627451,49627491,"Equine arteritis virus","Significant","","","",""
"750",32166,"EAVRESI","11",NA,"2817.36-2817.36",49509484,49509524,"Equine arteritis virus","Significant","","","",""
"751",32167,"EAVRESI","11",NA,"2820.48-2820.48",49564246,49564286,"Equine arteritis virus","Significant","","","",""
"752",32168,"EAVRESI","11",NA,"2812.54-2812.55",49424819,49424859,"Equine arteritis virus","Significant","","","",""
"753",32169,"EAVRESI","11",NA,"2810.53-2810.53",49389473,49389513,"Equine arteritis virus","Significant","","","",""
"754",32170,"EAVRESI","11",NA,"2820.15-2820.15",49558513,49558553,"Equine arteritis virus","Significant","","","",""
"755",32171,"EAVRESI","11",NA,"2819.41-2819.42",49545564,49545604,"Equine arteritis virus","Significant","","","",""
"756",32172,"EAVRESI","11",NA,"2829.13-2829.13",49716320,49716360,"Equine arteritis virus","Significant","","","",""
"757",32173,"EAVRESI","11",NA,"2820.96-2825.01",49572804,49643932,"Equine arteritis virus","Significant","","rs68888908","rs68888930",""
"790",37892,"SUSBITE","11",NA,"1821.59-1821.59",32010735,32010775,"Insect bite hypersensitivity","Significant","","","",""
"791",37893,"SUSBITE","11",NA,"1863.83-1863.83",32753102,32753142,"Insect bite hypersensitivity","Significant","","","",""
"792",37894,"SUSBITE","11",NA,"1880.17-1880.17",33040144,33040184,"Insect bite hypersensitivity","Significant","","","",""
"838",106353,"GAITED","11",NA,"2131.41-2131.41",47974227,47974267,"Alternate gaits","Significant",NA,"","",NA
"849",106364,"GAITED","11",NA,"2725.38-2732.34",47893127,48015457,"Alternate gaits","Significant",NA,"rs68852201","rs68853442",NA
"948",160694,"SUSBITE","11",NA,"",41743465,41832225,"Insect bite hypersensitivity","Significant","","","",""
"1051",165767,"WITHIH","11",NA,"",42975729,42975769,"Withers height","Significant",NA,"","",NA
"1054",165770,"WITHIH","11",NA,"",26540238,26540278,"Withers height","Significant",NA,"","",NA
"1073",165789,"WITHIH","11",NA,"",56880137,56880177,"Withers height","Significant",NA,"","",NA
"1074",165790,"WITHIH","11",NA,"",56880173,56880213,"Withers height","Significant",NA,"","",NA
"1076",165792,"WITHIH","11",NA,"",43560743,43560783,"Withers height","Significant",NA,"","",NA
"1099",165815,"WITHIH","11",NA,"",54548795,54548835,"Withers height","Significant",NA,"","",NA
"1109",165825,"WITHIH","11",NA,"",23732571,23732611,"Withers height","Significant",NA,"","",NA
"1119",165835,"WITHIH","11",NA,"",40824165,40824205,"Withers height","Significant",NA,"","",NA
"1144",165861,"WITHIH","11",NA,"",56459161,56459201,"Withers height","Significant",NA,"","",NA
"1161",165878,"WITHIH","11",NA,"",47262481,47262521,"Withers height","Significant",NA,"","",NA
"1195",165912,"WITHIH","11",NA,"",18230572,18230612,"Withers height","Significant",NA,"","",NA
"1253",165971,"WITHIH","11",NA,"",44420179,44420219,"Withers height","Significant",NA,"","",NA
"1261",165979,"WITHIH","11",NA,"",42468695,42468735,"Withers height","Significant",NA,"","",NA
"1308",166026,"WITHIH","11",NA,"",45631497,45631537,"Withers height","Significant",NA,"","",NA
"1311",166029,"WITHIH","11",NA,"",46064631,46064671,"Withers height","Significant",NA,"","",NA
"1328",166046,"WITHIH","11",NA,"",40136904,40136944,"Withers height","Significant",NA,"","",NA
"1331",166049,"WITHIH","11",NA,"",55400541,55400581,"Withers height","Significant",NA,"","",NA
"1386",166105,"WITHIH","11",NA,"",42975729,42975769,"Withers height","Significant",NA,"","",NA
"1410",166129,"WITHIH","11",NA,"",56880137,56880177,"Withers height","Significant",NA,"","",NA
"1411",166130,"WITHIH","11",NA,"",56880173,56880213,"Withers height","Significant",NA,"","",NA
"1500",166219,"WITHIH","11",NA,"",55421763,55421803,"Withers height","Significant",NA,"","",NA
"1545",166264,"WITHIH","11",NA,"",37920448,37920488,"Withers height","Significant",NA,"","",NA
"1664",172471,"GAITED","11",NA,"",36714803,36714843,"Alternate gaits","Significant",NA,"","",NA
"1666",172473,"GAITED","11",NA,"",36608662,36608702,"Alternate gaits","Significant",NA,"","",NA
"1673",172491,"GAITED","11",NA,"",36669508,36669548,"Alternate gaits","Significant",NA,"","",NA
"1680",172507,"GAITED","11",NA,"",50634915,50634955,"Alternate gaits","Significant",NA,"","",NA
"1700",172542,"GAITED","11",NA,"",29564186,29564226,"Alternate gaits","Significant",NA,"","",NA
"1704",172547,"GAITED","11",NA,"",29532446,29532486,"Alternate gaits","Significant",NA,"","",NA
"1787",179419,"SUSBITE","11",NA,"",40721385,40721425,"Insect bite hypersensitivity","Significant","","","",""
"1846",181833,"ERU","11",NA,"",7568993,7569033,"Recurrent uveitis","Significant","","","",""
"37",27176,"OSTEO","12",361.42,"361.42-361.42",0,100,"Osteochondrosis","Significant","","","",""
"203",28352,"heaves","12",8.9,"",0,100,"Recurrent airway obstruction","Significant","","","",""
"725",32141,"RER","12",66.4,"25.6 - 34.6",0,100,"Recurrent exertional rhabdomyolysis","Significant","","UCDEQ411","",""
"836",106351,"GAITED","12",NA,"1424.53-1424.54",12173675,12173715,"Alternate gaits","Significant",NA,"","",NA
"949",160695,"SUSBITE","12",NA,"",19366263,19527441,"Insect bite hypersensitivity","Significant","","","",""
"1129",165846,"WITHIH","12",NA,"",28325334,28325374,"Withers height","Significant",NA,"","",NA
"1172",165889,"WITHIH","12",NA,"",20154663,20154703,"Withers height","Significant",NA,"","",NA
"1302",166020,"WITHIH","12",NA,"",15778243,15778283,"Withers height","Significant",NA,"","",NA
"1395",166114,"WITHIH","12",NA,"",28543866,28543906,"Withers height","Significant",NA,"","",NA
"1432",166151,"WITHIH","12",NA,"",28325334,28325374,"Withers height","Significant",NA,"","",NA
"1452",166171,"WITHIH","12",NA,"",28325557,28325597,"Withers height","Significant",NA,"","",NA
"1505",166224,"WITHIH","12",NA,"",31065399,31065439,"Withers height","Significant",NA,"","",NA
"1514",166233,"WITHIH","12",NA,"",19547210,19547250,"Withers height","Significant",NA,"","",NA
"1536",166255,"WITHIH","12",NA,"",27959805,27959845,"Withers height","Significant",NA,"","",NA
"1629",172404,"GAITED","12",81.98,"81.98-81.98",2155412,2155452,"Alternate gaits","Significant",NA,"","",NA
"1848",181835,"ERU","12",114.64,"114.64-114.64",3014132,3014172,"Recurrent uveitis","Significant","","","",""
"1855",181842,"ERU","12",NA,"",11873550,11873590,"Recurrent uveitis","Significant","","","",""
"204",28353,"heaves","13",54.8,"0-64.2",0,100,"Recurrent airway obstruction","Significant","","COR069","TKY421",""
"218",28486,"OSTEO","13",19.6,"3.1 - 25.5",0,100,"Osteochondrosis","Significant","","","",""
"219",28487,"OSTEO","13",22.6,"21.6 - 25.9",0,100,"Osteochondrosis","Significant","","","",""
