QTL_ID	Symbol	Chromosome	Center_cM	Range_cM	Cood_A_bp	Coord_B_bp	Trait_Name	Significance	FlankMrkA2	FlankMrkA1	FlankMrkB1	FlankMrkB2
119851	OSTEO	2	42.60	42.60-42.60	8669881	8669921	Osteochondrosis	Significant				
163995	OSTEO	2	126.61	126.61-126.61	25766159	25766199	Osteochondrosis	Significant				
178608	SUSBITE	2	385.47	383.41-387.54	78026093	78865929	Insect bite hypersensitivity	Suggestive	rs68511003			rs68539356
179368	SUSBITE	2	383.62	383.62-383.62	78068407	78068447	Insect bite hypersensitivity	Significant				
179369	SUSBITE	2	309.74	309.74-309.74	63034781	63034821	Insect bite hypersensitivity	Significant				
179372	SUSBITE	2	81.13	81.13-81.13	16510373	16510413	Insect bite hypersensitivity	Significant				
179373	SUSBITE	2	81.13	81.13-81.13	16510373	16510413	Insect bite hypersensitivity	Significant				
179376	SUSBITE	2	315.91	315.91-315.91	64289952	64289992	Insect bite hypersensitivity	Significant				
179377	SUSBITE	2			89890299	89890339	Insect bite hypersensitivity	Significant				
179378	SUSBITE	2			91300116	91300156	Insect bite hypersensitivity	Significant				
179384	SUSBITE	2	255.95	255.95-255.95	52087353	52087393	Insect bite hypersensitivity	Significant				
179385	SUSBITE	2	256.14	256.14-256.14	52126011	52126051	Insect bite hypersensitivity	Significant				
179386	SUSBITE	2	256.91	256.91-256.91	52282429	52282469	Insect bite hypersensitivity	Significant				
179387	SUSBITE	2	323.58	323.58-323.58	65851385	65851425	Insect bite hypersensitivity	Significant				
179397	SUSBITE	2	270.74	270.74-270.74	55097830	55097870	Insect bite hypersensitivity	Significant				
179398	SUSBITE	2	270.76	270.76-270.76	55101919	55101959	Insect bite hypersensitivity	Significant				
179400	SUSBITE	2	262.24	262.24-262.24	53366567	53366607	Insect bite hypersensitivity	Significant				
27184	OSTD	3	20.7		0	100	Osteochondrosis dissecans	Significant				
27185	OSTD	3	24.4		0	100	Osteochondrosis dissecans	Significant				
27186	OSTD	3	30.2		0	100	Osteochondrosis dissecans	Significant				
28483	OSTD	3	358.17	358.17-358.17	88493397	88493437	Osteochondrosis dissecans	Significant				
28484	OSTEO	3	131.4	130.4 - 135.6	0	100	Osteochondrosis	Significant				
28485	OSTEO	3	130.5	125.9 - 133.4	0	100	Osteochondrosis	Significant				
29075	GPT	3	358.17	358.17-358.17	33216183	33216223	Guttural pouch tympany	Significant				
29076	GPT	3	358.17	358.17-358.17	33386091	33386131	Guttural pouch tympany	Significant				
29077	GPT	3	358.17	358.17-358.17	33512989	33513029	Guttural pouch tympany	Significant				
29078	GPT	3	358.17	358.17-358.17	33695078	33695118	Guttural pouch tympany	Significant				
29079	GPT	3	358.17	358.17-358.17	33788830	33788870	Guttural pouch tympany	Significant				
29080	GPT	3	358.17	358.17-358.17	33889006	33889046	Guttural pouch tympany	Significant				
29081	GPT	3	358.17	358.17-358.17	34005735	34005775	Guttural pouch tympany	Significant				
29082	GPT	3	358.17	358.17-358.17	34234872	34234912	Guttural pouch tympany	Significant				
29083	GPT	3	358.17	358.17-358.17	52577092	52577132	Guttural pouch tympany	Significant				
29084	GPT	3	358.17	358.17-358.17	52638486	52638526	Guttural pouch tympany	Significant				
29085	GPT	3	358.17	358.17-358.17	52818206	52818246	Guttural pouch tympany	Significant				
29086	GPT	3	358.17	358.17-358.17	53026038	53026078	Guttural pouch tympany	Significant				
29087	GPT	3	358.17	358.17-358.17	53312973	53313013	Guttural pouch tympany	Significant				
29088	GPT	3	358.17	358.17-358.17	53396576	53396616	Guttural pouch tympany	Significant				
29089	GPT	3	358.17	358.17-358.17	53842960	53843000	Guttural pouch tympany	Significant				
29090	GPT	3	358.17	358.17-358.17	56044320	56044360	Guttural pouch tympany	Significant				
29091	GPT	3	358.17	358.17-358.17	56208301	56208341	Guttural pouch tympany	Significant				
29092	GPT	3	358.17	358.17-358.17	56270751	56270791	Guttural pouch tympany	Significant				
29093	GPT	3	358.17	358.17-358.17	56380843	56380883	Guttural pouch tympany	Significant				
29094	GPT	3	358.17	358.17-358.17	56626743	56626783	Guttural pouch tympany	Significant				
29095	GPT	3	358.17	358.17-358.17	56781569	56781609	Guttural pouch tympany	Significant				
29096	GPT	3	358.17	358.17-358.17	57035707	57035747	Guttural pouch tympany	Significant				
29097	GPT	3	358.17	358.17-358.17	57149794	57149834	Guttural pouch tympany	Significant				
29098	GPT	3	358.17	358.17-358.17	57373457	57373497	Guttural pouch tympany	Significant				
29099	GPT	3	358.17	358.17-358.17	57557234	57557274	Guttural pouch tympany	Significant				
29100	GPT	3	358.17	358.17-358.17	57658606	57658646	Guttural pouch tympany	Significant				
29101	GPT	3	358.17	358.17-358.17	57876794	57876834	Guttural pouch tympany	Significant				
29102	GPT	3	358.17	358.17-358.17	58026730	58026770	Guttural pouch tympany	Significant				
29103	GPT	3	358.17	358.17-358.17	58136011	58136051	Guttural pouch tympany	Significant				
29104	GPT	3	358.17	358.17-358.17	58250675	58250715	Guttural pouch tympany	Significant				
29105	GPT	3	358.17	358.17-358.17	58378566	58378606	Guttural pouch tympany	Significant				
29106	GPT	3	358.17	358.17-358.17	58669110	58669150	Guttural pouch tympany	Significant				
29107	GPT	3	358.17	358.17-358.17	58832090	58832130	Guttural pouch tympany	Significant				
29108	GPT	3	358.17	358.17-358.17	58894581	58894621	Guttural pouch tympany	Significant				
29113	GPT	3	358.17	358.17-358.17	34443376	34443416	Guttural pouch tympany	Significant				
29114	GPT	3	358.17	358.17-358.17	34502108	34502148	Guttural pouch tympany	Significant				
29115	GPT	3	358.17	358.17-358.17	34673385	34673425	Guttural pouch tympany	Significant				
29116	GPT	3	358.17	358.17-358.17	34786550	34786590	Guttural pouch tympany	Significant				
29117	GPT	3	358.17	358.17-358.17	35140310	35140350	Guttural pouch tympany	Significant				
29118	GPT	3	358.17	358.17-358.17	35279201	35279241	Guttural pouch tympany	Significant				
29119	GPT	3	358.17	358.17-358.17	35408412	35408452	Guttural pouch tympany	Significant				
29120	GPT	3	358.17	358.17-358.17	35502766	35502806	Guttural pouch tympany	Significant				
29121	GPT	3	358.17	358.17-358.17	35639894	35639934	Guttural pouch tympany	Significant				
29122	GPT	3	358.17	358.17-358.17	36461572	36461612	Guttural pouch tympany	Significant				
29123	GPT	3	358.17	358.17-358.17	36840245	36840285	Guttural pouch tympany	Significant				
29124	GPT	3	358.17	358.17-358.17	36977319	36977359	Guttural pouch tympany	Significant				
29125	GPT	3	358.17	358.17-358.17	37121834	37121874	Guttural pouch tympany	Significant				
29126	GPT	3	358.17	358.17-358.17	37148427	37148467	Guttural pouch tympany	Significant				
29127	GPT	3	358.17	358.17-358.17	37398487	37398527	Guttural pouch tympany	Significant				
29128	GPT	3	358.17	358.17-358.17	37540071	37540111	Guttural pouch tympany	Significant				
29129	GPT	3	358.17	358.17-358.17	37635849	37635889	Guttural pouch tympany	Significant				
29130	GPT	3	358.17	358.17-358.17	37789680	37789720	Guttural pouch tympany	Significant				
29131	GPT	3	358.17	358.17-358.17	37957558	37957598	Guttural pouch tympany	Significant				
29132	GPT	3	358.17	358.17-358.17	38123474	38123514	Guttural pouch tympany	Significant				
29133	GPT	3	358.17	358.17-358.17	38157782	38157822	Guttural pouch tympany	Significant				
29134	GPT	3	358.17	358.17-358.17	38344331	38344371	Guttural pouch tympany	Significant				
29135	GPT	3	358.17	358.17-358.17	38417941	38417981	Guttural pouch tympany	Significant				
29136	GPT	3	358.17	358.17-358.17	38502744	38502784	Guttural pouch tympany	Significant				
29137	GPT	3	358.17	358.17-358.17	38637563	38637603	Guttural pouch tympany	Significant				
29138	GPT	3	358.17	358.17-358.17	38767593	38767633	Guttural pouch tympany	Significant				
29139	GPT	3	358.17	358.17-358.17	38930275	38930315	Guttural pouch tympany	Significant				
29140	GPT	3	358.17	358.17-358.17	39054257	39054297	Guttural pouch tympany	Significant				
29141	GPT	3	358.17	358.17-358.17	39250059	39250099	Guttural pouch tympany	Significant				
29142	GPT	3	358.17	358.17-358.17	39375889	39375929	Guttural pouch tympany	Significant				
29143	GPT	3	358.17	358.17-358.17	39547611	39547651	Guttural pouch tympany	Significant				
29144	GPT	3	358.17	358.17-358.17	39642385	39642425	Guttural pouch tympany	Significant				
29145	GPT	3	358.17	358.17-358.17	39861516	39861556	Guttural pouch tympany	Significant				
29146	GPT	3	358.17	358.17-358.17	40179288	40179328	Guttural pouch tympany	Significant				
29147	GPT	3	358.17	358.17-358.17	40523750	40523790	Guttural pouch tympany	Significant				
29148	GPT	3	358.17	358.17-358.17	40650233	40650273	Guttural pouch tympany	Significant				
29149	GPT	3	358.17	358.17-358.17	40781743	40781783	Guttural pouch tympany	Significant				
29150	GPT	3	358.17	358.17-358.17	41027593	41027633	Guttural pouch tympany	Significant				
29151	GPT	3	358.17	358.17-358.17	41230979	41231019	Guttural pouch tympany	Significant				
29152	GPT	3	358.17	358.17-358.17	41368781	41368821	Guttural pouch tympany	Significant				
29153	GPT	3	358.17	358.17-358.17	41368781	41368821	Guttural pouch tympany	Significant				
29154	GPT	3	358.17	358.17-358.17	41567800	41567840	Guttural pouch tympany	Significant				
29155	GPT	3	358.17	358.17-358.17	41631032	41631072	Guttural pouch tympany	Significant				
29156	GPT	3	358.17	358.17-358.17	41842682	41842722	Guttural pouch tympany	Significant				
29157	GPT	3	358.17	358.17-358.17	41928356	41928396	Guttural pouch tympany	Significant				
29158	GPT	3	358.17	358.17-358.17	42002956	42002996	Guttural pouch tympany	Significant				
29159	GPT	3	358.17	358.17-358.17	42181016	42181056	Guttural pouch tympany	Significant				
29160	GPT	3	358.17	358.17-358.17	42286697	42286737	Guttural pouch tympany	Significant				
29161	GPT	3	358.17	358.17-358.17	42411335	42411375	Guttural pouch tympany	Significant				
29162	GPT	3	358.17	358.17-358.17	42654379	42654419	Guttural pouch tympany	Significant				
29163	GPT	3	358.17	358.17-358.17	42765678	42765718	Guttural pouch tympany	Significant				
29164	GPT	3	358.17	358.17-358.17	42946542	42946582	Guttural pouch tympany	Significant				
29165	GPT	3	358.17	358.17-358.17	43022477	43022517	Guttural pouch tympany	Significant				
29166	GPT	3	358.17	358.17-358.17	43140925	43140965	Guttural pouch tympany	Significant				
29167	GPT	3	358.17	358.17-358.17	43265798	43265838	Guttural pouch tympany	Significant				
29168	GPT	3	358.17	358.17-358.17	43419179	43419219	Guttural pouch tympany	Significant				
29169	GPT	3	358.17	358.17-358.17	43519185	43519225	Guttural pouch tympany	Significant				
29170	GPT	3	358.17	358.17-358.17	43772892	43772932	Guttural pouch tympany	Significant				
29171	GPT	3	358.17	358.17-358.17	43927531	43927571	Guttural pouch tympany	Significant				
29172	GPT	3	358.17	358.17-358.17	44037097	44037137	Guttural pouch tympany	Significant				
29173	GPT	3	358.17	358.17-358.17	44250884	44250924	Guttural pouch tympany	Significant				
29174	GPT	3	358.17	358.17-358.17	44525919	44525959	Guttural pouch tympany	Significant				
29175	GPT	3	358.17	358.17-358.17	44630413	44630453	Guttural pouch tympany	Significant				
29176	GPT	3	358.17	358.17-358.17	44944857	44944897	Guttural pouch tympany	Significant				
29177	GPT	3	358.17	358.17-358.17	45003677	45003717	Guttural pouch tympany	Significant				
29178	GPT	3	358.17	358.17-358.17	45228397	45228437	Guttural pouch tympany	Significant				
29179	GPT	3	358.17	358.17-358.17	45259270	45259310	Guttural pouch tympany	Significant				
29180	GPT	3	358.17	358.17-358.17	45449443	45449483	Guttural pouch tympany	Significant				
29181	GPT	3	358.17	358.17-358.17	45688019	45688059	Guttural pouch tympany	Significant				
29182	GPT	3	358.17	358.17-358.17	45882522	45882562	Guttural pouch tympany	Significant				
29183	GPT	3	358.17	358.17-358.17	46087904	46087944	Guttural pouch tympany	Significant				
29184	GPT	3	358.17	358.17-358.17	46381785	46381825	Guttural pouch tympany	Significant				
29185	GPT	3	358.17	358.17-358.17	46513158	46513198	Guttural pouch tympany	Significant				
29186	GPT	3	358.17	358.17-358.17	46668071	46668111	Guttural pouch tympany	Significant				
29187	GPT	3	358.17	358.17-358.17	46754846	46754886	Guttural pouch tympany	Significant				
29188	GPT	3	358.17	358.17-358.17	46875627	46875667	Guttural pouch tympany	Significant				
29189	GPT	3	358.17	358.17-358.17	47006508	47006548	Guttural pouch tympany	Significant				
29190	GPT	3	358.17	358.17-358.17	47219886	47219926	Guttural pouch tympany	Significant				
29191	GPT	3	358.17	358.17-358.17	47267039	47267079	Guttural pouch tympany	Significant				
29192	GPT	3	358.17	358.17-358.17	47452803	47452843	Guttural pouch tympany	Significant				
29193	GPT	3	358.17	358.17-358.17	47573451	47573491	Guttural pouch tympany	Significant				
29194	GPT	3	358.17	358.17-358.17	47684840	47684880	Guttural pouch tympany	Significant				
29195	GPT	3	358.17	358.17-358.17	47766109	47766149	Guttural pouch tympany	Significant				
29196	GPT	3	358.17	358.17-358.17	47766109	47766149	Guttural pouch tympany	Significant				
29197	GPT	3	358.17	358.17-358.17	48071986	48072026	Guttural pouch tympany	Significant				
29198	GPT	3	358.17	358.17-358.17	48307243	48307283	Guttural pouch tympany	Significant				
29199	GPT	3	358.17	358.17-358.17	48375418	48375458	Guttural pouch tympany	Significant				
29200	GPT	3	358.17	358.17-358.17	48519406	48519446	Guttural pouch tympany	Significant				
29201	GPT	3	358.17	358.17-358.17	48726595	48726635	Guttural pouch tympany	Significant				
29202	GPT	3	358.17	358.17-358.17	48955047	48955087	Guttural pouch tympany	Significant				
29203	GPT	3	358.17	358.17-358.17	49031614	49031654	Guttural pouch tympany	Significant				
29204	GPT	3	358.17	358.17-358.17	49169349	49169389	Guttural pouch tympany	Significant				
29205	GPT	3	358.17	358.17-358.17	49476426	49476466	Guttural pouch tympany	Significant				
29206	GPT	3	358.17	358.17-358.17	49604471	49604511	Guttural pouch tympany	Significant				
29207	GPT	3	358.17	358.17-358.17	49680438	49680478	Guttural pouch tympany	Significant				
29208	GPT	3	358.17	358.17-358.17	49923078	49923118	Guttural pouch tympany	Significant				
29209	GPT	3	358.17	358.17-358.17	50059950	50059990	Guttural pouch tympany	Significant				
29210	GPT	3	358.17	358.17-358.17	50135275	50135315	Guttural pouch tympany	Significant				
29211	GPT	3	358.17	358.17-358.17	50328520	50328560	Guttural pouch tympany	Significant				
29212	GPT	3	358.17	358.17-358.17	50444816	50444856	Guttural pouch tympany	Significant				
29213	GPT	3	358.17	358.17-358.17	50561870	50561910	Guttural pouch tympany	Significant				
29214	GPT	3	358.17	358.17-358.17	50687461	50687501	Guttural pouch tympany	Significant				
29215	GPT	3	358.17	358.17-358.17	50757867	50757907	Guttural pouch tympany	Significant				
29216	GPT	3	358.17	358.17-358.17	50953466	50953506	Guttural pouch tympany	Significant				
29217	GPT	3	358.17	358.17-358.17	51128497	51128537	Guttural pouch tympany	Significant				
29218	GPT	3	358.17	358.17-358.17	51261799	51261839	Guttural pouch tympany	Significant				
29219	GPT	3	358.17	358.17-358.17	51525164	51525204	Guttural pouch tympany	Significant				
29220	GPT	3	358.17	358.17-358.17	51729558	51729598	Guttural pouch tympany	Significant				
29221	GPT	3	358.17	358.17-358.17	51782266	51782306	Guttural pouch tympany	Significant				
29222	GPT	3	358.17	358.17-358.17	51894520	51894560	Guttural pouch tympany	Significant				
29223	GPT	3	358.17	358.17-358.17	52033002	52033042	Guttural pouch tympany	Significant				
29224	GPT	3	358.17	358.17-358.17	52129800	52129840	Guttural pouch tympany	Significant				
29225	GPT	3	358.17	358.17-358.17	52272354	52272394	Guttural pouch tympany	Significant				
29226	GPT	3	358.17	358.17-358.17	52442692	52442732	Guttural pouch tympany	Significant				
29227	GPT	3	358.17	358.17-358.17	53943507	53943547	Guttural pouch tympany	Significant				
29228	GPT	3	358.17	358.17-358.17	54082247	54082287	Guttural pouch tympany	Significant				
29229	GPT	3	358.17	358.17-358.17	54170668	54170708	Guttural pouch tympany	Significant				
29230	GPT	3	358.17	358.17-358.17	54268473	54268513	Guttural pouch tympany	Significant				
29231	GPT	3	358.17	358.17-358.17	54400623	54400663	Guttural pouch tympany	Significant				
29232	GPT	3	358.17	358.17-358.17	54588796	54588836	Guttural pouch tympany	Significant				
29233	GPT	3	358.17	358.17-358.17	54796384	54796424	Guttural pouch tympany	Significant				
29234	GPT	3	358.17	358.17-358.17	54993345	54993385	Guttural pouch tympany	Significant				
29235	GPT	3	358.17	358.17-358.17	55007696	55007736	Guttural pouch tympany	Significant				
29236	GPT	3	358.17	358.17-358.17	55141215	55141255	Guttural pouch tympany	Significant				
29237	GPT	3	358.17	358.17-358.17	55323016	55323056	Guttural pouch tympany	Significant				
29238	GPT	3	358.17	358.17-358.17	55395206	55395246	Guttural pouch tympany	Significant				
29239	GPT	3	358.17	358.17-358.17	55713970	55714010	Guttural pouch tympany	Significant				
29240	GPT	3	358.17	358.17-358.17	55940147	55940187	Guttural pouch tympany	Significant				
29267	RHOD	3	358.17	358.17-358.17	59782861	59782901	Rhodococcus equi infection	Significant				
29272	RHOD	3	358.17	358.17-358.17	59874418	59874458	Rhodococcus equi infection	Significant				
29273	RHOD	3	358.17	358.17-358.17	59874475	59874515	Rhodococcus equi infection	Significant				
29280	SUSBITE	3	34.44	32.68-36.21	8074967	8945516	Insect bite hypersensitivity	Suggestive	rs68488638			rs68556576
29281	SUSBITE	3	70.85	68.95-72.75	17036655	17973786	Insect bite hypersensitivity	Suggestive	rs68625213			rs68595804
29282	SUSBITE	3	204.39	202.54-206.25	50041835	50957472	Insect bite hypersensitivity	Suggestive	rs68559765			rs68523440
29283	SUSBITE	3	208.47	206.48-210.46	51015363	51998291	Insect bite hypersensitivity	Suggestive	rs68524803			rs68592768
29304	SUSBITE	3	143.76	142.00-145.52	35084304	35953765	Insect bite hypersensitivity	Suggestive	rs68458751			rs68458854
29325	OSTEO	3	425.64	425.64-425.64	105163057	105163097	Osteochondrosis	Significant				
29326	OSTEO	3	427.19	427.19-427.19	105546982	105547022	Osteochondrosis	Significant				
29327	OSTEO	3	428.34	428.34-428.34	105830605	105830645	Osteochondrosis	Significant				
29512	BFSUS	3	309.97	309.97-309.97	76584405	76584445	Bone fracture	Significant				
