Run,Alias,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,sex,SRA_accession,SRA Study,title,AvgSpotLen,Bases,Bytes,AssemblyName
ERR1021673,Yak1,WGS,PRJEB10854,SAMEA3542237,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100607,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak1_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542237,ERS849386,male,ERS849386,ERP012152,Yakutian horse,196,3657861172,2385649378,
ERR1021674,Yak1,WGS,PRJEB10854,SAMEA3542237,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100608,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak1_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542237,ERS849386,male,ERS849386,ERP012152,Yakutian horse,196,3516587116,2285610747,
ERR1021675,Yak1,WGS,PRJEB10854,SAMEA3542237,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100609,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak1_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542237,ERS849386,male,ERS849386,ERP012152,Yakutian horse,196,3207310288,2037896257,
ERR1021676,Yak1,WGS,PRJEB10854,SAMEA3542237,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100610,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak1_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542237,ERS849386,male,ERS849386,ERP012152,Yakutian horse,196,2931537700,1833298838,
ERR1021677,Yak1,WGS,PRJEB10854,SAMEA3542237,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100611,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak1_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542237,ERS849386,male,ERS849386,ERP012152,Yakutian horse,196,3441418372,2212047085,
ERR1021678,Yak1,WGS,PRJEB10854,SAMEA3542237,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100612,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2000,Yak1_2,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542237,ERS849386,male,ERS849386,ERP012152,Yakutian horse,196,3378587044,2047930203,
ERR1021679,Yak1,WGS,PRJEB10854,SAMEA3542237,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100613,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak1_2,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542237,ERS849386,male,ERS849386,ERP012152,Yakutian horse,196,2838969252,1641774286,
ERR1021680,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100614,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2000,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,2513171584,1559823185,
ERR1021681,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100615,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,3039910412,1778526187,
ERR1021682,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100616,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,6310120824,4065417827,
ERR1021683,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100617,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,7757057112,5358107583,
ERR1021684,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100618,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,7708852088,5229807574,
ERR1021685,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100619,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,6266721328,4129315315,
ERR1021686,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100620,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,7013694968,4640644782,
ERR1021687,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100621,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,5957313768,3841036003,
ERR1021688,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100622,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,7197016904,4818730751,
ERR1021689,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100623,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,6076618968,3935370510,
ERR1021690,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100624,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,6078848468,3941919956,
ERR1021691,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100625,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,6154468208,3974455109,
ERR1021692,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100626,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,5117118412,3232935828,
ERR1021693,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100627,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,4637030720,2883844131,
ERR1021694,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100628,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,5534413388,3537463388,
ERR1021695,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100629,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2000,Yak2_2,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,2644927880,1601087901,
ERR1021696,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100630,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_2,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,2176201524,1257231809,
ERR1021697,Yak3,WGS,PRJEB10854,SAMEA3542239,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100631,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:45Z,public,Illumina HiSeq 2000,Yak3_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542239,ERS849388,female,ERS849388,ERP012152,Yakutian horse,196,1160282368,721499962,
ERR1021698,Yak3,WGS,PRJEB10854,SAMEA3542239,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100632,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:45Z,public,Illumina HiSeq 2500,Yak3_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542239,ERS849388,female,ERS849388,ERP012152,Yakutian horse,196,1410904824,827204721,
ERR1021699,Yak3,WGS,PRJEB10854,SAMEA3542239,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100633,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:45Z,public,Illumina HiSeq 2500,Yak3_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542239,ERS849388,female,ERS849388,ERP012152,Yakutian horse,196,3703279664,2386216927,
ERR1021700,Yak3,WGS,PRJEB10854,SAMEA3542239,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100634,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:45Z,public,Illumina HiSeq 2500,Yak3_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542239,ERS849388,female,ERS849388,ERP012152,Yakutian horse,196,4727346540,3272093235,
ERR1021701,Yak3,WGS,PRJEB10854,SAMEA3542239,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100635,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:45Z,public,Illumina HiSeq 2500,Yak3_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542239,ERS849388,female,ERS849388,ERP012152,Yakutian horse,196,4578121548,3109605026,
ERR1021702,Yak3,WGS,PRJEB10854,SAMEA3542239,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100636,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:45Z,public,Illumina HiSeq 2500,Yak3_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542239,ERS849388,female,ERS849388,ERP012152,Yakutian horse,196,3590110244,2365741212,
ERR1021703,Yak3,WGS,PRJEB10854,SAMEA3542239,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100637,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:45Z,public,Illumina HiSeq 2500,Yak3_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542239,ERS849388,female,ERS849388,ERP012152,Yakutian horse,196,4022474876,2662333344,
ERR1021704,Yak3,WGS,PRJEB10854,SAMEA3542239,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100638,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:45Z,public,Illumina HiSeq 2500,Yak3_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542239,ERS849388,female,ERS849388,ERP012152,Yakutian horse,196,3437123620,2214177547,
ERR1021705,Yak3,WGS,PRJEB10854,SAMEA3542239,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100639,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:45Z,public,Illumina HiSeq 2500,Yak3_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542239,ERS849388,female,ERS849388,ERP012152,Yakutian horse,196,4114899852,2756642034,
ERR1021706,Yak3,WGS,PRJEB10854,SAMEA3542239,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100640,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:45Z,public,Illumina HiSeq 2500,Yak3_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542239,ERS849388,female,ERS849388,ERP012152,Yakutian horse,196,3497457124,2263305694,
ERR1021707,Yak3,WGS,PRJEB10854,SAMEA3542239,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100641,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:45Z,public,Illumina HiSeq 2500,Yak3_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542239,ERS849388,female,ERS849388,ERP012152,Yakutian horse,196,3610734344,2340052455,
ERR1021708,Yak3,WGS,PRJEB10854,SAMEA3542239,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100642,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:45Z,public,Illumina HiSeq 2500,Yak3_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,SAMEA3542239,ERS849388,female,ERS849388,ERP012152,Yakutian horse,196,3527216980,2276227022,
